artists,popularity,duration_ms,danceability,speechiness,acousticness,valence,tempo,track_genre
28389.0,36.0,203053.0,0.434,0.0325,0.658,0.471,94.611,bluegrass
12625.0,33.0,207000.0,0.566,0.0302,0.376,0.962,133.312,bluegrass
8986.0,77.0,230613.0,0.509,0.0357,0.00713,0.221,156.909,blues
4459.0,79.0,208760.0,0.636,0.0263,0.0807,0.273,113.98,blues
24123.0,76.0,180690.0,0.573,0.0322,0.0162,0.39,75.012,blues
27730.0,84.0,232106.0,0.743,0.0683,0.0039,0.278,123.596,blues
8843.0,76.0,225026.0,0.572,0.0293,0.649,0.485,95.542,blues
27199.0,65.0,243329.0,0.691,0.0436,0.00438,0.755,92.025,blues
2109.0,1.0,268040.0,0.27,0.0573,0.755,0.362,170.254,blues
2109.0,0.0,240773.0,0.579,0.0268,0.624,0.526,109.417,blues
16781.0,2.0,285373.0,0.614,0.0247,0.217,0.902,97.863,blues
16781.0,0.0,285373.0,0.614,0.0247,0.217,0.902,97.863,blues
31148.0,82.0,157444.0,0.848,0.0527,0.0169,0.249,125.051,brazil
2748.0,56.0,194478.0,0.833,0.301,0.116,0.187,129.047,brazil
16139.0,54.0,221775.0,0.72,0.0609,0.00408,0.307,125.005,brazil
30049.0,57.0,202213.0,0.692,0.391,0.527,0.542,75.086,brazil
29984.0,54.0,208000.0,0.704,0.0818,0.299,0.161,89.974,brazil
90.0,52.0,201459.0,0.75,0.058,0.798,0.897,136.937,brazil
2753.0,52.0,249490.0,0.799,0.118,0.103,0.404,117.031,brazil
5016.0,55.0,224973.0,0.632,0.0488,0.0556,0.835,87.785,brazil
28678.0,53.0,238000.0,0.611,0.439,0.0717,0.355,158.852,brazil
20571.0,53.0,239072.0,0.641,0.0307,0.413,0.941,139.942,brazil
3100.0,49.0,188906.0,0.576,0.126,0.0208,0.514,87.969,breakbeat
20104.0,48.0,206010.0,0.416,0.1,0.0404,0.0613,172.028,breakbeat
9001.0,42.0,294373.0,0.555,0.0398,0.000145,0.561,131.959,breakbeat
6804.0,49.0,217600.0,0.461,0.223,0.00025,0.0558,112.586,breakbeat
27504.0,17.0,216026.0,0.542,0.0435,0.00097,0.586,140.013,breakbeat
27083.0,64.0,393813.0,0.745,0.0751,0.0141,0.365,104.003,breakbeat
3095.0,53.0,282272.0,0.507,0.188,0.00936,0.471,175.954,breakbeat
27083.0,52.0,354603.0,0.607,0.0259,0.102,0.207,124.014,breakbeat
11964.0,23.0,288000.0,0.546,0.034,0.00307,0.0621,129.998,breakbeat
27513.0,45.0,149233.0,0.661,0.128,0.0519,0.332,141.911,breakbeat
642.0,78.0,285935.0,0.331,0.0309,0.528,0.152,109.821,british
642.0,80.0,242973.0,0.603,0.0249,0.00408,0.446,107.993,british
642.0,74.0,271800.0,0.591,0.0283,0.889,0.348,141.916,british
642.0,85.0,224694.0,0.604,0.0282,0.578,0.13,141.981,british
642.0,81.0,285240.0,0.556,0.0281,0.893,0.294,135.187,british
642.0,78.0,286480.0,0.346,0.0282,0.417,0.0789,75.881,british
642.0,79.0,290900.0,0.376,0.0496,0.303,0.265,144.361,british
642.0,82.0,225148.0,0.534,0.046,0.091,0.55,88.098,british
642.0,81.0,228093.0,0.73,0.0298,0.138,0.507,104.948,british
642.0,72.0,223078.0,0.688,0.0865,0.0355,0.567,164.069,british
