explicit,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,track_genre
0.0,0.607,0.588,0.0268,0.406,0.0,0.127,0.495,4.0,7
0.0,0.434,0.796,0.0325,0.658,0.00685,0.156,0.471,4.0,7
0.0,0.566,0.781,0.0302,0.376,0.0916,0.0967,0.962,4.0,7
0.0,0.509,0.448,0.0357,0.00713,0.0137,0.244,0.221,3.0,8
0.0,0.636,0.676,0.0263,0.0807,0.0,0.0831,0.273,4.0,8
0.0,0.573,0.539,0.0322,0.0162,1.16e-05,0.105,0.39,4.0,8
0.0,0.743,0.446,0.0683,0.0039,0.118,0.337,0.278,4.0,8
0.0,0.572,0.214,0.0293,0.649,0.129,0.125,0.485,4.0,8
0.0,0.691,0.841,0.0436,0.00438,4.44e-05,0.31,0.755,4.0,8
0.0,0.27,0.577,0.0573,0.755,0.123,0.139,0.362,4.0,8
0.0,0.579,0.409,0.0268,0.624,1.83e-05,0.18,0.526,3.0,8
0.0,0.614,0.724,0.0247,0.217,0.000256,0.146,0.902,4.0,8
0.0,0.614,0.724,0.0247,0.217,0.000256,0.146,0.902,4.0,8
0.0,0.848,0.821,0.0527,0.0169,0.000403,0.0962,0.249,4.0,9
0.0,0.833,0.517,0.301,0.116,0.000142,0.116,0.187,4.0,9
0.0,0.72,0.781,0.0609,0.00408,0.807,0.308,0.307,4.0,9
0.0,0.692,0.427,0.391,0.527,0.0,0.17,0.542,4.0,9
1.0,0.704,0.616,0.0818,0.299,0.0,0.0856,0.161,4.0,9
0.0,0.75,0.507,0.058,0.798,0.0,0.31,0.897,4.0,9
0.0,0.799,0.584,0.118,0.103,1.11e-06,0.457,0.404,4.0,9
0.0,0.632,0.866,0.0488,0.0556,5.75e-06,0.518,0.835,4.0,9
1.0,0.611,0.547,0.439,0.0717,0.0,0.157,0.355,4.0,9
0.0,0.641,0.617,0.0307,0.413,0.0,0.112,0.941,4.0,9
0.0,0.576,0.88,0.126,0.0208,8.99e-05,0.334,0.514,4.0,10
0.0,0.416,0.506,0.1,0.0404,0.0202,0.11,0.0613,4.0,10
0.0,0.555,0.888,0.0398,0.000145,0.37,0.493,0.561,4.0,10
0.0,0.461,0.964,0.223,0.00025,0.3,0.247,0.0558,3.0,10
0.0,0.542,0.955,0.0435,0.00097,0.154,0.309,0.586,4.0,10
